종목코드,종목명,상장일,분류체계,운용사,수익률(최근 1년),기초지수,추적오차,순자산총액,괴리율,변동성,복제방법,총보수,과세유형
337160,KODEX 200ESG,2019/11/14,주식-전략-전략테마,삼성자산운용,20.94,코스피 200 ESG 지수,0.78,38776647606,0.03,높음,실물(패시브),0.09,비과세
363580,KODEX 200IT TR,2020/09/25,주식-업종섹터-정보기술,삼성자산운용,-3.78,코스피200 정보기술 TR,0.14,40487222866,-0.33,매우높음,실물(패시브),0.15,배당소득세(보유기간과세)
278530,KODEX 200TR,2017/11/21,주식-시장대표,삼성자산운용,18.56,코스피 200 TR,0.28,2852058659273,-0.17,높음,실물(패시브),0.05,배당소득세(보유기간과세)
337150,KODEX 200exTOP,2019/11/14,주식-규모-대형주,삼성자산운용,28.01,코스피 200 초대형제외 지수,0.84,14082367754,-0.11,높음,실물(패시브),0.3,비과세
223190,KODEX 200가치저변동,2015/06/26,주식-전략-가치,삼성자산운용,16.94,코스피 200 가치저변동성,1.1,16994078051,-0.29,높음,실물(패시브),0.3,비과세
252650,KODEX 200동일가중,2016/09/20,주식-시장대표,삼성자산운용,25.48,코스피 200 동일가중지수,0.81,8457440208,0.1,높음,실물(패시브),0.25,비과세
360140,KODEX 200롱코스닥150숏선물,2020/08/21,주식-전략-전략테마,삼성자산운용,11.54,코스피200 롱 100% 코스닥150 숏 100% 선물지수,2.52,30204648238,0.24,보통,실물(패시브),0.64,배당소득세(보유기간과세)
284430,KODEX 200미국채혼합,2017/11/30,혼합자산-주식+채권,삼성자산운용,8.08,코스피 200 미국채 혼합지수,2.5,156900552135,0.03,매우낮음,실물(패시브),0.35,배당소득세(보유기간과세)
252670,KODEX 200선물인버스2X,2016/09/22,주식-시장대표,삼성자산운용,-34.41,코스피 200 선물지수,0.65,1492365412464,-0.31,매우높음,실물(패시브),0.64,배당소득세(보유기간과세)
494890,KODEX 200액티브,2024/10/29,주식-시장대표,삼성자산운용,0.0,코스피 200,0.94,359074138566,-0.27,높음,실물(액티브),0.15,배당소득세(보유기간과세)
498400,KODEX 200타겟위클리커버드콜,2024/12/03,주식-전략-구조화,삼성자산운용,0.0,코스피 200 타겟 위클리 커버드콜 지수,1.26,749656715772,-0.19,보통,실물(패시브),0.39,배당소득세(보유기간과세)
476810,KODEX 25-11 은행채(AA-이상)PLUS액티브,2024/03/05,채권-회사채-단기,삼성자산운용,3.72,"KAP 25-11 은행채 PLUS 지수(AA-이상, 총수익)",0.09,760234433475,0.0,매우낮음,실물(액티브),0.09,배당소득세(보유기간과세)
467940,KODEX 25-11 회사채(A+이상)액티브,2023/10/11,채권-회사채-단기,삼성자산운용,3.46,KAP 25-11 회사채 총수익 지수,0.06,256814600812,-0.08,매우낮음,실물(액티브),0.09,배당소득세(보유기간과세)
491080,KODEX 25-12 은행채(AAA)액티브,2024/09/10,채권-혼합,삼성자산운용,0.0,KAP 25-12 은행채 총수익 지수,0.05,996252870172,0.01,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
473290,KODEX 26-12 회사채(AA-이상)액티브,2023/12/12,채권-회사채-단기,삼성자산운용,4.13,KAP 26-12 회사채 총수익 지수(AA-이상),0.08,726777951145,-0.04,매우낮음,실물(액티브),0.09,배당소득세(보유기간과세)
0007F0,KODEX 27-12 회사채(AA-이상)액티브,2025/01/14,채권-회사채-단기,삼성자산운용,0.0,KAP 27-12 회사채 총수익 지수(AA-이상),0.18,362118057918,-0.02,매우낮음,실물(액티브),0.09,배당소득세(보유기간과세)
305720,KODEX 2차전지산업,2018/09/12,주식-업종섹터-업종테마,삼성자산운용,-23.85,FnGuide 2차전지 산업 지수,0.56,1136527196534,-0.11,매우높음,실물(패시브),0.45,비과세
462330,KODEX 2차전지산업레버리지,2023/07/04,주식-업종섹터-업종테마,삼성자산운용,-53.49,FnGuide 2차전지 산업 지수,6.31,328262282726,-0.59,매우높음,실물(패시브),0.49,배당소득세(보유기간과세)
461950,KODEX 2차전지핵심소재10,2023/07/04,주식-업종섹터-업종테마,삼성자산운용,-28.69,FnGuide 2차전지핵심소재10 지수,0.51,156850753768,0.2,매우높음,실물(패시브),0.39,비과세
457690,KODEX 33-06 국고채액티브,2023/05/31,채권-국공채-장기,삼성자산운용,5.04,KAP 33-06 국고채 총수익 지수,0.33,26978147537,0.04,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
271060,KODEX 3대농산물선물(H),2017/06/13,원자재-농산물-혼합,삼성자산운용,-9.7,S&P GSCI Grains Select Index ER,0.94,28955479477,-0.02,보통,실물(패시브),0.55,배당소득세(보유기간과세)
457700,KODEX 53-09 국고채액티브,2023/05/31,채권-국공채-장기,삼성자산운용,6.97,KAP 53-09 국고채 총수익 지수,0.53,21370530438,-0.06,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
395160,KODEX AI반도체,2021/07/30,주식-업종섹터-업종테마,삼성자산운용,-3.51,FnGuide AI반도체지수,0.8,297458718052,-0.05,매우높음,실물(패시브),0.45,비과세
471990,KODEX AI반도체핵심장비,2023/11/21,주식-업종섹터-업종테마,삼성자산운용,-12.56,iSelect AI 반도체핵심장비 지수,0.37,133782561148,-0.02,매우높음,실물(패시브),0.39,비과세
487240,KODEX AI전력핵심설비,2024/07/09,주식-업종섹터-업종테마,삼성자산운용,71.28,iSelect AI 전력핵심설비 지수(Price Return),0.51,438368687470,-0.11,매우높음,실물(패시브),0.39,비과세
481050,KODEX CD1년금리플러스액티브(합성),2024/04/23,기타,삼성자산운용,1.34,KAP 1년은행 CD+추가금리 지수(총수익지수),0.01,2245475583102,0.02,매우낮음,합성(액티브),0.05,배당소득세(보유기간과세)
459580,KODEX CD금리액티브(합성),2023/06/08,기타,삼성자산운용,3.08,KAP 양도성예금증서(CD)금리지수(총수익지수),0.05,8661283633526,0.01,매우낮음,합성(액티브),0.02,배당소득세(보유기간과세)
439860,KODEX ESG종합채권(A-이상)액티브,2022/08/23,채권-혼합,삼성자산운용,5.0,"KAP ESG 종합채권지수(A- 이상, 총수익)",0.14,291137475734,0.08,매우낮음,실물(액티브),0.07,배당소득세(보유기간과세)
266370,KODEX IT,2017/03/28,주식-업종섹터-정보기술,삼성자산운용,-8.54,KRX 정보기술,0.74,21574255623,-0.21,매우높음,실물(패시브),0.45,비과세
368680,KODEX K-뉴딜디지털플러스,2020/11/10,주식-업종섹터-업종테마,삼성자산운용,6.89,FnGuide K-뉴딜 디지털 플러스 지수,0.27,8899925880,-0.26,매우높음,실물(패시브),0.09,비과세
423160,KODEX KOFR금리액티브(합성),2022/04/26,기타,삼성자산운용,3.09,KOFR 지수,0.07,4020224942633,0.01,매우낮음,합성(액티브),0.05,배당소득세(보유기간과세)
292190,KODEX KRX300,2018/03/26,주식-시장대표,삼성자산운용,14.54,KRX 300,0.75,24308505679,-0.26,높음,실물(패시브),0.05,비과세
306950,KODEX KRX300레버리지,2018/10/16,주식-시장대표,삼성자산운용,22.39,KRX 300,6.25,19628858969,-0.45,매우높음,실물(패시브),0.64,배당소득세(보유기간과세)
229720,KODEX KTOP30,2015/10/14,주식-시장대표,삼성자산운용,4.41,KTOP 30,0.68,9163908379,-0.45,높음,실물(패시브),0.25,비과세
0080G0,KODEX K방산TOP10,2025/07/15,주식-업종섹터-업종테마,삼성자산운용,0.0,iSelect K방산 TOP10 지수(Price Return),0.13,157853595368,-0.2,매우높음,실물(패시브),0.45,비과세
266360,KODEX K콘텐츠,2017/03/28,주식-업종섹터-정보기술,삼성자산운용,21.66,KRX K콘텐츠,0.23,98096769169,-0.42,매우높음,실물(패시브),0.45,비과세
291890,KODEX MSCI EM선물(H),2018/03/23,주식-시장대표,삼성자산운용,15.83,iEdge Emerging Markets Futures Index(ER),0.78,5179504299,0.24,높음,실물(패시브),0.45,배당소득세(보유기간과세)
289040,KODEX MSCI KOREA ESG유니버설,2018/02/07,주식-전략-전략테마,삼성자산운용,13.26,MSCI Korea ESG Universal Capped Index,0.84,8781074209,-0.27,높음,실물(패시브),0.3,비과세
156080,KODEX MSCI Korea,2012/04/30,주식-시장대표,삼성자산운용,9.9,MSCI Korea Index,0.77,13686448795,-0.6,높음,실물(패시브),0.09,비과세
278540,KODEX MSCI Korea TR,2017/11/09,주식-시장대표,삼성자산운용,12.68,MSCI Korea TR Index,0.14,715022978998,-0.35,높음,실물(패시브),0.09,배당소득세(보유기간과세)
251350,KODEX MSCI선진국,2016/08/17,주식-시장대표,삼성자산운용,17.04,MSCI World,1.88,386785354684,0.28,보통,실물(패시브),0.3,배당소득세(해외주식투자전용ETF)
269420,KODEX S&P글로벌인프라(합성),2017/05/16,주식-업종섹터,삼성자산운용,21.94,S&P Global Infrastructure Index,1.07,18822643149,0.18,보통,합성(패시브),0.26,배당소득세(보유기간과세)
433970,KODEX TDF2030액티브,2022/06/30,혼합자산-주식+채권,삼성자산운용,7.97,Samsung Korea Target Date 2030 Index (Price Return),3.43,48997756687,0.24,매우낮음,실물(액티브),0.2,배당소득세(보유기간과세)
433980,KODEX TDF2040액티브,2022/06/30,혼합자산-주식+채권,삼성자산운용,11.11,Samsung Korea Target Date 2040 Index (Price Return),4.29,44184908891,0.36,낮음,실물(액티브),0.25,배당소득세(보유기간과세)
434060,KODEX TDF2050액티브,2022/06/30,혼합자산-주식+채권,삼성자산운용,13.24,Samsung Korea Target Date 2050 Index (Price Return),4.75,248782010511,0.42,낮음,실물(액티브),0.3,배당소득세(보유기간과세)
0082V0,KODEX TDF2060액티브,2025/07/22,혼합자산-주식+채권,삼성자산운용,0.0,Samsung Korea Target Date 2060 Index,3.76,20198669640,0.2,매우낮음,실물(액티브),0.3,배당소득세(보유기간과세)
329650,KODEX TRF3070,2019/07/04,혼합자산-주식+채권,삼성자산운용,9.0,FnGuide TRF 3070 지수,1.5,233529238279,0.04,매우낮음,실물(패시브),0.24,배당소득세(보유기간과세)
329660,KODEX TRF5050,2019/07/04,혼합자산-주식+채권,삼성자산운용,11.49,FnGuide TRF 5050 지수,1.95,87082063828,-0.04,낮음,실물(패시브),0.17,배당소득세(보유기간과세)
329670,KODEX TRF7030,2019/07/04,혼합자산-주식+채권,삼성자산운용,14.34,FnGuide TRF 7030 지수,3.21,68816060874,0.14,낮음,실물(패시브),0.1,배당소득세(보유기간과세)
395170,KODEX Top10동일가중,2021/07/30,주식-규모-대형주,삼성자산운용,5.69,FnGuide TOP10 동일가중 지수,1.01,58342953213,-0.07,높음,실물(패시브),0.15,비과세
315930,KODEX Top5PlusTR,2019/01/22,주식-전략-전략테마,삼성자산운용,11.67,FnGuide TOP 5 Plus Total Return 지수,0.59,882698950650,-0.15,매우높음,실물(패시브),0.15,배당소득세(보유기간과세)
261220,KODEX WTI원유선물(H),2016/12/27,원자재-에너지-원유,삼성자산운용,-4.32,S&P GSCI Crude Oil Index ER,1.08,60587751975,0.93,매우높음,실물(패시브),0.35,배당소득세(보유기간과세)
271050,KODEX WTI원유선물인버스(H),2017/06/13,원자재-에너지-원유,삼성자산운용,-3.73,S&P GSCI Crude Oil Index ER,2.06,27480766675,-0.9,매우높음,실물(패시브),0.35,배당소득세(보유기간과세)
468370,KODEX iShares미국인플레이션국채액티브,2023/10/19,채권-국공채,삼성자산운용,1.92,ICE U.S. Treasury Inflation Linked Bond Index(Total Return),1.25,12431779474,0.0,낮음,실물(액티브),0.1,배당소득세(보유기간과세)
468630,KODEX iShares미국투자등급회사채액티브,2023/10/19,채권-회사채,삼성자산운용,0.32,Markit iBoxx USD Liquid Investment Grade Index(Total Return),2.12,21291815985,-0.11,낮음,실물(액티브),0.1,배당소득세(보유기간과세)
468380,KODEX iShares미국하이일드액티브,2023/10/19,채권-회사채,삼성자산운용,1.22,ICE BofAML US HY Constrained Index(Total Return),3.82,50467000362,-0.13,낮음,실물(액티브),0.15,배당소득세(보유기간과세)
275290,KODEX 가치주,2017/07/11,주식-전략-가치,삼성자산운용,13.11,MSCI Korea IMI Enhanced Value Capped,1.24,11849938251,-0.43,높음,실물(패시브),0.3,비과세
117700,KODEX 건설,2009/10/30,주식-업종섹터-건설,삼성자산운용,19.85,KRX 건설,1.04,57790951388,0.15,매우높음,실물(패시브),0.45,비과세
300950,KODEX 게임산업,2018/07/24,주식-업종섹터-업종테마,삼성자산운용,-2.18,FnGuide 게임 산업 지수,0.36,21595360346,-0.38,매우높음,실물(패시브),0.45,비과세
266390,KODEX 경기소비재,2017/03/28,주식-업종섹터-경기소비재,삼성자산운용,17.32,KRX 경기소비재,1.0,5918620803,-0.09,보통,실물(패시브),0.45,비과세
279530,KODEX 고배당주,2017/10/17,주식-전략-배당,삼성자산운용,26.85,FnGuide 고배당 Plus 지수,2.04,271538756518,-0.25,보통,실물(패시브),0.3,비과세
132030,KODEX 골드선물(H),2010/10/01,원자재-금속-금,삼성자산운용,34.99,S&P GSCI Gold Index(TR),0.62,258158460629,0.14,보통,실물(패시브),0.68,배당소득세(보유기간과세)
280940,KODEX 골드선물인버스(H),2017/11/09,원자재-금속-금,삼성자산운용,-26.29,S&P GSCI GOLD Index Excess Return,1.75,3611073834,-0.31,보통,실물(패시브),0.45,배당소득세(보유기간과세)
138910,KODEX 구리선물(H),2011/03/15,원자재-금속-구리,삼성자산운용,32.38,S&P GSCI North American Copper Index(TR),1.65,14141802635,0.39,매우높음,실물(패시브),0.68,배당소득세(보유기간과세)
471230,KODEX 국고채10년액티브,2023/11/14,채권-국공채-장기,삼성자산운용,4.31,KAP 국고채 10년 지수(TR),0.28,450813312313,0.02,매우낮음,실물(액티브),0.015,배당소득세(보유기간과세)
439870,KODEX 국고채30년액티브,2022/08/23,채권-국공채-장기,삼성자산운용,7.42,KAP 국고채 30년 총수익 지수,0.54,623706210532,0.0,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
114260,KODEX 국고채3년,2009/07/29,채권-국공채-중기,삼성자산운용,3.86,MKF 국고채지수(총수익),0.09,595040649722,0.0,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
152380,KODEX 국채선물10년,2012/01/20,채권-국공채-장기,삼성자산운용,3.89,10년국채선물지수,0.12,87029929910,0.0,매우낮음,실물(패시브),0.07,배당소득세(보유기간과세)
176950,KODEX 국채선물10년인버스,2013/05/31,채권-국공채-장기,삼성자산운용,1.2,10년국채선물지수,0.11,6513651854,0.01,매우낮음,실물(패시브),0.07,배당소득세(보유기간과세)
292770,KODEX 국채선물3년인버스,2018/04/13,채권-국공채-중기,삼성자산운용,2.09,국채선물지수,0.12,12328432827,-0.01,매우낮음,실물(패시브),0.07,배당소득세(보유기간과세)
276990,KODEX 글로벌로봇(합성),2017/08/17,주식-업종섹터-업종테마,삼성자산운용,14.19,ROBO Global Robotics & Automation UCITS Price Return Index,1.57,24433860433,-0.38,높음,합성(패시브),0.3,배당소득세(보유기간과세)
476070,KODEX 글로벌비만치료제TOP2 Plus,2024/02/14,주식-업종섹터-업종테마,삼성자산운용,-20.26,iSelect 글로벌 비만치료제TOP2 Plus 지수(PR),1.02,64876216019,-0.81,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
0064K0,KODEX 금액티브,2025/06/17,원자재-금속-금,삼성자산운용,0.0,Bloomberg Gold Spot NY 4pm USD Index,1.14,100633468271,-0.31,보통,실물(액티브),0.3,배당소득세(보유기간과세)
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,2024/12/17,주식-전략-구조화,삼성자산운용,0.0,코스피 200 금융 고배당 TOP 10 타겟 분배 위클리 커버드콜 지수,4.39,394762956336,-0.02,높음,실물(패시브),0.39,배당소득세(보유기간과세)
102960,KODEX 기계장비,2008/05/29,주식-업종섹터-산업재,삼성자산운용,59.26,KRX 기계장비,0.48,15423076680,0.03,매우높음,실물(패시브),0.45,비과세
404260,KODEX 기후변화솔루션,2021/10/29,주식-전략-전략테마,삼성자산운용,13.82,KRX 기후변화 솔루션지수,0.65,11445266107,-0.25,매우높음,실물(패시브),0.09,비과세
273140,KODEX 단기변동금리부채권액티브,2017/06/29,채권-혼합-단기,삼성자산운용,3.03,KAP 단기변동금리부은행채권지수,0.05,287728011581,0.01,매우낮음,실물(액티브),0.15,배당소득세(보유기간과세)
153130,KODEX 단기채권,2012/02/22,채권-국공채-단기,삼성자산운용,3.01,KRW Cash 지수(총수익),0.04,611363990991,0.0,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
214980,KODEX 단기채권PLUS,2015/03/03,채권-혼합-단기,삼성자산운용,3.32,KRW Cash PLUS 지수(총수익),0.05,1557184454450,0.0,매우낮음,실물(패시브),0.15,배당소득세(보유기간과세)
487950,KODEX 대만테크고배당다우존스,2024/07/23,주식-전략-배당,삼성자산운용,2.95,Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR),1.64,11327439817,1.12,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
122630,KODEX 레버리지,2010/02/22,주식-시장대표,삼성자산운용,27.01,코스피 200,4.6,2678946467543,-0.59,매우높음,실물(패시브),0.64,배당소득세(보유기간과세)
445290,KODEX 로봇액티브,2022/11/15,주식-업종섹터-업종테마,삼성자산운용,22.93,iSelect K-로봇테마 지수,6.03,164226097997,-0.12,매우높음,실물(액티브),0.5,배당소득세(보유기간과세)
488770,KODEX 머니마켓액티브,2024/08/06,채권-혼합-단기,삼성자산운용,0.0,KAP MMF 지수(TR),0.04,7041617424017,0.0,매우낮음,실물(액티브),0.05,배당소득세(보유기간과세)
321410,KODEX 멀티에셋하이인컴(H),2019/06/05,혼합자산,삼성자산운용,5.21,Morningstar Multi-Asset High Income 10% Capped Index,1.9,5085903189,0.28,낮음,실물(패시브),0.25,배당소득세(보유기간과세)
337120,KODEX 멀티팩터,2019/11/14,주식-전략-혼합/퀀트,삼성자산운용,15.18,FnGuide 멀티팩터 지수,0.85,9175679324,-0.02,보통,실물(패시브),0.3,비과세
401470,KODEX 메타버스액티브,2021/10/13,주식-업종섹터-업종테마,삼성자산운용,9.5,FnGuide K-메타버스 지수,6.43,102641312854,-0.34,높음,실물(액티브),0.5,배당소득세(보유기간과세)
244620,KODEX 모멘텀Plus,2016/05/13,주식-전략-성장,삼성자산운용,7.06,FnGuide 모멘텀 Plus 지수,0.65,8753233868,-0.23,높음,실물(패시브),0.3,비과세
275280,KODEX 모멘텀주,2017/07/11,주식-전략-성장,삼성자산운용,39.13,MSCI Korea IMI Momentum Capped,0.84,13068877581,-0.11,매우높음,실물(패시브),0.3,비과세
308620,KODEX 미국10년국채선물,2018/10/19,채권-국공채-장기,삼성자산운용,0.65,S&P 10-Year U.S. Treasury Note Futures KRW(ER),1.31,83987815946,-0.13,낮음,실물(패시브),0.09,배당소득세(보유기간과세)
484790,KODEX 미국30년국채액티브(H),2024/06/18,채권-국공채-장기,삼성자산운용,-9.28,KEDI-KAP 미국 국채 20+ 지수(TR),3.64,642919619072,-0.15,보통,실물(액티브),0.015,배당소득세(보유기간과세)
304660,KODEX 미국30년국채울트라선물(H),2018/09/12,채권-국공채-장기,삼성자산운용,-6.24,S&P Ultra T-Bond Futures Index(ER),1.0,284820614245,-0.22,보통,실물(패시브),0.3,배당소득세(보유기간과세)
304670,KODEX 미국30년국채울트라선물인버스(H),2018/09/12,채권-국공채-장기,삼성자산운용,6.53,S&P Ultra T-Bond Futures Index(ER),1.51,6043912091,-0.06,보통,실물(패시브),0.3,배당소득세(보유기간과세)
481060,KODEX 미국30년국채타겟커버드콜(합성 H),2024/04/30,채권-국공채-장기,삼성자산운용,-17.01,Bloomberg U.S.Treasury 20+ Year(TLT)+ 12% Premium Covered Call index(TR),0.52,680395797285,-0.32,낮음,합성(패시브),0.25,배당소득세(보유기간과세)
0041D0,KODEX 미국AI소프트웨어TOP10,2025/04/22,주식-업종섹터-업종테마,삼성자산운용,0.0,iSelect 미국 AI 소프트웨어 TOP10 지수(PR),0.31,44091968422,0.63,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
487230,KODEX 미국AI전력핵심인프라,2024/07/09,주식-업종섹터-업종테마,삼성자산운용,90.26,iSelect 미국AI전력핵심인프라 지수(Price Return),0.24,618332377208,1.53,매우높음,실물(패시브),0.45,배당소득세(보유기간과세)
485540,KODEX 미국AI테크TOP10,2024/06/25,주식-업종섹터-업종테마,삼성자산운용,32.01,KEDI 미국AI테크 TOP10 지수(PR),0.2,141699076438,0.8,매우높음,실물(패시브),0.3,배당소득세(보유기간과세)
483280,KODEX 미국AI테크TOP10타겟커버드콜,2024/05/28,주식-전략-구조화,삼성자산운용,12.89,KEDI 미국 AI 테크 TOP10+15%프리미엄 지수(Total Return),2.19,432339622795,0.55,매우높음,실물(패시브),0.39,배당소득세(보유기간과세)
428560,KODEX 미국ETF산업Top10 Indxx,2022/05/17,주식-업종섹터-업종테마,삼성자산운용,18.04,Indxx US ETF Industry Top10 Index(Price Return),0.65,14993702240,-0.22,높음,실물(패시브),0.5,배당소득세(보유기간과세)
379800,KODEX 미국S&P500,2021/04/09,주식-시장대표,삼성자산운용,18.85,S&P 500,0.09,4857329388115,0.41,높음,실물(패시브),0.006,배당소득세(보유기간과세)
449180,KODEX 미국S&P500(H),2022/12/02,주식-시장대표,삼성자산운용,15.55,S&P 500,0.29,771750644970,0.48,높음,실물(패시브),0.009,배당소득세(보유기간과세)
453660,KODEX 미국S&P500경기소비재,2023/03/21,주식-업종섹터-경기소비재,삼성자산운용,23.4,S&P Consumer Discretionary Select Sector Index(Price Return),0.26,11792767411,0.02,매우높음,실물(패시브),0.25,배당소득세(보유기간과세)
453650,KODEX 미국S&P500금융,2023/03/21,주식-업종섹터-금융,삼성자산운용,23.03,S&P Financial Select Sector Index(Price Return),0.34,48361701850,0.11,높음,실물(패시브),0.25,배당소득세(보유기간과세)
0005A0,KODEX 미국S&P500데일리커버드콜OTM,2025/01/07,주식-전략-구조화,삼성자산운용,0.0,S&P 500 Covered Call 1% OTM Daily Index(TR),0.8,108058912719,0.41,높음,실물(패시브),0.25,배당소득세(보유기간과세)
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),2017/08/10,주식-전략-구조화,삼성자산운용,-5.7,S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index,0.17,36830191017,0.37,낮음,합성(패시브),0.3,배당소득세(보유기간과세)
0026E0,KODEX 미국S&P500버퍼3월액티브,2025/03/25,주식-전략-구조화,삼성자산운용,0.0,S&P500 10% Buffered Index March Series (USD) TR,1.08,68328330379,-0.47,높음,실물(액티브),0.39,배당소득세(보유기간과세)
0068M0,KODEX 미국S&P500버퍼6월액티브,2025/06/24,주식-전략-구조화,삼성자산운용,0.0,S&P500 10% Buffered Index June Series (USD) TR,0.52,52747203511,-0.42,매우낮음,실물(액티브),0.39,배당소득세(보유기간과세)
200030,KODEX 미국S&P500산업재(합성),2014/06/12,주식-업종섹터-산업재,삼성자산운용,24.17,S&P Select Sector Industrial Index,0.06,42249466307,0.19,높음,합성(패시브),0.25,배당소득세(보유기간과세)
219480,KODEX 미국S&P500선물(H),2015/05/29,주식-시장대표,삼성자산운용,15.41,S&P 500 Futures Total Return Index,0.56,147930425624,0.45,높음,실물(패시브),0.05,배당소득세(보유기간과세)
0041E0,KODEX 미국S&P500액티브,2025/04/22,주식-시장대표,삼성자산운용,0.0,S&P 500,2.55,24256397492,0.22,보통,실물(액티브),0.45,배당소득세(보유기간과세)
218420,KODEX 미국S&P500에너지(합성),2015/04/28,주식-업종섹터-에너지화학,삼성자산운용,-4.26,S&P Select Sector Energy Index,0.23,25511359235,0.76,매우높음,합성(패시브),0.25,배당소득세(보유기간과세)
463640,KODEX 미국S&P500유틸리티,2023/08/01,주식-업종섹터-업종테마,삼성자산운용,18.99,S&P Utilities Select Sector Index(Price Return),0.38,15737695502,0.26,높음,실물(패시브),0.25,배당소득세(보유기간과세)
463690,KODEX 미국S&P500커뮤니케이션,2023/08/01,주식-업종섹터-커뮤니케이션서비스,삼성자산운용,31.26,S&P Communication Services Select Sector Index(Price Return),0.47,11050606771,0.41,매우높음,실물(패시브),0.25,배당소득세(보유기간과세)
463680,KODEX 미국S&P500테크놀로지,2023/08/01,주식-업종섹터-정보기술,삼성자산운용,22.24,S&P Technology Select Sector Index(Price Return),0.48,25322043665,0.72,매우높음,실물(패시브),0.25,배당소득세(보유기간과세)
453630,KODEX 미국S&P500필수소비재,2023/03/21,주식-업종섹터-생활소비재,삼성자산운용,3.97,S&P Consumer Staples Select Sector Index(Price Return),0.32,12671349867,-0.15,높음,실물(패시브),0.25,배당소득세(보유기간과세)
453640,KODEX 미국S&P500헬스케어,2023/03/21,주식-업종섹터-헬스케어,삼성자산운용,-8.82,S&P Health Care Select Sector Index(Price Return),0.47,29918186004,0.63,높음,실물(패시브),0.25,배당소득세(보유기간과세)
185680,KODEX 미국S&P바이오(합성),2013/10/31,주식-업종섹터-헬스케어,삼성자산운용,-13.99,S&P Biotechnology Select Industry Index,0.21,14750399919,0.52,매우높음,합성(패시브),0.25,배당소득세(보유기간과세)
0028X0,KODEX 미국금융테크액티브,2025/05/27,주식-업종섹터-업종테마,삼성자산운용,0.0,iSelect 미국 차세대 파이낸셜 테크 지수(시장가격),14.84,24121116182,0.54,매우높음,실물(액티브),0.45,배당소득세(보유기간과세)
379810,KODEX 미국나스닥100,2021/04/09,주식-시장대표,삼성자산운용,23.73,NASDAQ 100,0.09,2858125713868,0.62,매우높음,실물(패시브),0.006,배당소득세(보유기간과세)
449190,KODEX 미국나스닥100(H),2022/12/02,주식-시장대표,삼성자산운용,20.89,NASDAQ 100,0.31,470427750122,0.67,매우높음,실물(패시브),0.009,배당소득세(보유기간과세)
494300,KODEX 미국나스닥100데일리커버드콜OTM,2024/10/22,주식-전략-구조화,삼성자산운용,0.0,NASDAQ-100 Daily Covered Call 101 Index(TR),0.96,320417620848,0.31,높음,실물(패시브),0.25,배당소득세(보유기간과세)
409820,KODEX 미국나스닥100레버리지(합성 H),2021/12/09,주식-시장대표,삼성자산운용,36.47,NASDAQ 100,0.84,229150791702,1.24,매우높음,합성(패시브),0.3,배당소득세(보유기간과세)
304940,KODEX 미국나스닥100선물(H),2018/08/30,주식-시장대표,삼성자산운용,20.22,NASDAQ 100,0.82,117209916105,0.64,매우높음,실물(패시브),0.05,배당소득세(보유기간과세)
409810,KODEX 미국나스닥100선물인버스(H),2021/12/09,주식-시장대표,삼성자산운용,-18.95,NASDAQ 100,0.84,23010213324,-0.71,매우높음,실물(패시브),0.3,배당소득세(보유기간과세)
411420,KODEX 미국나스닥AI테크액티브,2021/12/22,주식-업종섹터-업종테마,삼성자산운용,56.64,Nasdaq CB Insights Metaverse US Index (Price Return),11.98,66715019730,0.7,매우높음,실물(액티브),0.5,배당소득세(보유기간과세)
455030,KODEX 미국달러SOFR금리액티브(합성),2023/04/04,기타,삼성자산운용,4.16,Bloomberg SOFR Daily Total Return Index,0.29,465474438826,-0.24,매우낮음,합성(액티브),0.15,배당소득세(보유기간과세)
261240,KODEX 미국달러선물,2016/12/27,통화-미국달러,삼성자산운용,4.09,미국달러선물지수,1.09,57016584211,-0.15,매우낮음,실물(패시브),0.25,배당소득세(보유기간과세)
261250,KODEX 미국달러선물레버리지,2016/12/27,통화-미국달러,삼성자산운용,4.17,미국달러선물지수,2.21,37848671680,-0.2,보통,실물(패시브),0.45,배당소득세(보유기간과세)
261270,KODEX 미국달러선물인버스,2016/12/27,통화-미국달러,삼성자산운용,-0.37,미국달러선물지수,1.1,74656193069,-0.05,매우낮음,실물(패시브),0.45,배당소득세(보유기간과세)
261260,KODEX 미국달러선물인버스2X,2016/12/27,통화-미국달러,삼성자산운용,-3.87,미국달러선물지수,2.17,300777852409,-0.01,보통,실물(패시브),0.45,배당소득세(보유기간과세)
